 Nr. | Besitz 	Zustand 	Kommentar 
 012 | Ja	----		neu
 032 | Nein	----		---
 040 | Nein	----		---
 041 | Ja	----		neu
 051 | Ja	----		neu
 077 | Nein	----		---
 079 | Nein	----		---
 106 | Nein	----		---
 107 | Nein	----		---
 123 | Ja	----		neu
 125 | Nein	----		---
 136 | Ja	----		neu
 139 | Ja	----		neu
 143 | Ja	----		neu
 148 | Nein	----		---
 151 | Nein	----		---
 152 | Nein	----		---
 156 | Nein	----		---
 161 | Nein	----		---
 162 | Nein	----		---
 165 | Ja	----		neu
 168 | Nein	----		---
 172 | Nein	----		---
 173 | Nein	----		---
 179 | Nein	----		---
 182 | Nein	----		---
 183 | Ja	----		neu
 185 | Nein	----		---
 195 | Nein	----		---
 203 | Ja	----		neu
 214 | Nein	----		---
 216 | Ja	----		neu
 217 | Ja	----		neu
 218 | Nein	----		---
 219 | Nein	----		---
 221 | Nein	----		---
 224 | Ja	----		neu
 226 | Ja	----		neu
 232 | Nein	----		---
 235 | Nein	----		---
 237 | Nein	----		---
 238 | Nein	----		---
 240 | Nein	----		---
 242 | Ja	----		neu
 243 | Nein	----		---
 244 | Nein	----		---
 245 | Ja	----		neu
 249 | Nein	----		---
 256 | Nein	----		---
 257 | Nein	----		---
 260 | Nein	----		---
 261 | Nein	----		---
 263 | Nein	----		---
 265 | Nein	----		---
 266 | Ja	----		neu
 267 | Nein	----		---
 268 | Nein	----		---
 269 | Nein	----		---
 270 | Nein	----		neu
 271 | Nein	----		neu
 272 | Nein	----		neu
 273 | Nein	----		---
 274 | Nein	----		neu
 275 | Nein	----		---
 276 | Nein	----		---
 277 | Nein	----		neu
 278 | Nein	----		---
 279 | Nein	----		neu
 280 | Nein	----		---
 281 | Nein	----		---
 282 | Nein	----		---
 283 | Nein	----		neu
 284 | Nein	----		---
 285 | Nein	----		---
 286 | Nein	----		---
 287 | Nein	----		---
 288 | Ja	----		neu
 289 | Nein	----		---
 291 | Nein	----		---
 294 | Ja	----		neu
 296 | Ja	----		neu
 297 | Nein	----		---
 298 | Nein	----		---
 299 | Nein	----		---
 301 | Nein	----		---
 302 | Nein	----		---
 304 | Nein	----		---
 307 | Nein	----		---
 308 | Nein	----		---
 309 | Nein	----		---
 310 | Nein	----		---
 311 | Nein	----		---
 312 | Nein	----		---
 314 | Nein	----		---
 316 | Nein	----		---
 317 | Nein	----		---
 318 | Nein	----		---
 320 | Nein	----		---
 321 | Nein	----		---
 323 | Nein	----		---
 324 | Nein	----		---
 325 | Nein	----		---
 326 | Ja	----		neu
 327 | Nein	----		---
 328 | Nein	----		---
 329 | Nein	----		---
 331 | Ja	----		neu
 333 | Nein	----		---
 334 | Nein	----		---
 335 | Nein	----		---
 336 | Nein	----		---
 337 | Nein	----		---
 338 | Nein	----		---
 341 | Nein	----		---
 343 | Ja	----		neu
